Bib ID,Object Type,Parent ARK,Item ARK,File Name,Title,Thumbnail,Item Sequence,AltTitle.other,AltTitle.uniform,Author,Place of origin,Date.creation,Date.normalized,Colophon,Description.note,Note,Summary,Representative image,Masthead,Language,References,Provenance,Table of Contents,Format.extent,Type.typeOfResource,Type.genre,Subject topic,Name.repository,AltIdentifier.local,Rights.copyrightStatus,Rights.servicesContact,Text direction,viewingHint,Opac url,Note.admin,IIIF Manifest URL
2794289,Work,ark:/21198/n1r89q,ark:/21198/n15g9h,,Teian mondō | 貞安問答,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn15g9h%2Fsw43zc5x,,,,"Raikei, 1562-1610 | 賴慶, 1562-1610|~|Teian, 1539-1615 | 貞安, 1539-1615",Kyoto : Miura Kanbē | 京都 : 三浦勘兵衛,Shōho 5 [1648] | 正保4,1648,（刊記）「正保五戊子暦閏正月上旬　三浦勘兵衛開板」,Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,32 leaves ; 275 x 173 mm,text,Early works,Shingon (Sect)--Doctrines--Early works to 1800|~|Shingon (Sect) -- Apologetic works -- Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8968 .R35 1648|~|Jun Suzuki, no.0118",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9927942893606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn15g9h/manifest
2997900,Work,ark:/21198/n1r89q,ark:/21198/n11s7m,,Ōtsuka monketsu | 大塚問決,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn11s7m%2Fsw43zc5x,,,,Ryōnen | 亮然|~|Kanjaku | 還寂|~|Seihonbō | 静本房,,Tenpō 13 [1842] | 天保13,1842,（奥書）「天保十三年壬寅二月初二日書写校了真言末葉静氏房　行寿十八」,Resolving Problems [in] Ōtsuku (?)|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,19 unnumbered leaves : illustrations ; 250 x 180 mm,text,Manuscripts|~|Early works,Shingon (Sect)--Rituals--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8970.2 .R96 1842|~|Jun Suzuki, no.0152",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9929979003606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn11s7m/manifest
3003635,Work,ark:/21198/n1r89q,ark:/21198/n1x050,,Shaku Makaenron ketsugi hanan eshaku shō | 釈摩訶衍論決疑破難会釈鈔,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1x050%2Fsw43zc5x,,釈摩訶衍論決疑破難會釈鈔 [variant title],,"Saisen, 1025-1115 | 濟暹, 1025-1115",,Tenpō 5 [1834] | 天保5,1834,（奥書）「天保五甲午秋於大坂三津寺大福院(略)／高野山西院谷戒厳院呼敞了義房生歳廿四」,Summary Reconciling [Divergent] Interpretations and Resolving Doubts over the Explanation of the Treatise on Mahāyana|~|Suzuki subject: 仏教－経・論－論,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,16 leaves ; 242 x 182 mm,text,Manuscripts|~|Early works,Shi Mo he yan lun--Authorship | 釋摩訶衍論 -- Authorship,"Richard C. Rudolph East Asian Library, UCLA","BQ2995.S553 S45 1834|~|Jun Suzuki, no.0091",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930036353606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1x050/manifest
3045195,Work,ark:/21198/n1r89q,ark:/21198/n1s91b,,Sentoku gozokushō nado no koto | 先徳御俗姓等事,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1s91b%2Fsw43zc5x,,先德御俗姓等事 [variant title]|~|Kosho sakusha no koto | 古書作者事|~|Kōyasan shodō no koto | 高野山諸堂事|~|Honchō ni buppō hajimete wataru koto narabini reibutsu torai tō | 本朝仏法初渡事并霊佛渡来等|~|本朝仏法初渡事并霊仏渡来等 [variant title],,,,[between 1781 and 1829?],1781/1829,,Secular Family Names of Virtuous Predecessors.|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,14 unnumbered leaves ; 224 x 163 mm,text,Manuscripts|~|Early works,Shingon priests--Japan--Early works to 1800|~|Shingon (Sect)--Early works to 1800|~|Buddhism--Japan--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .S46|~|Jun Suzuki, no.0176",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930451953606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1s91b/manifest
3045196,Work,ark:/21198/n1r89q,ark:/21198/n1nk8h,,Sentoku ryakumyōmoku tō | 先徳略名目等,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1nk8h%2Fsw43zc5x,,先德略名目等 [variant title],,"Shinkyō, active 1714 | 心鏡, active 1714",,Shōtoku 4 [1714] | 正德4,1714,（奥書）「峕正徳四稔一陽廿七日書写之雖文字不詳後日得正本応校合耳/備中鷲峯山心鏡」,Abbreviated Titles of Virtuous Predecessors|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,7 unnumbered leaves ; 230 x 184 mm,text,Manuscripts|~|Early works,Shingon priests--Early works to 1800|~|Buddhist temples--Japan--Early works to 1800|~|Shingon (Sect)--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .S463 1714|~|Jun Suzuki, no.0175",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930451963606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1nk8h/manifest
3058717,Work,ark:/21198/n1r89q,ark:/21198/n1hs6k,,Shingonshū sanbukyō narabini Dainichikyō sho engi | 真言宗三部経并大日経疏縁起,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1hs6k%2Fsw43zc5x,,真言宗三部經并大日經疏緣起 [variant title]|~|Dainichikyō oku no sho yurai | 大日經奥疏由來|~|大日経奥疏由来 [variant title]|~|Jikkan gishaku uragaki tō | 十巻義釈裏書等|~|十卷義釈裹書等 [variant title],,"Yūki | 宥基|~|Yūtoku | 宥得|~|Misshi | 密資|~|Eihen, active 1418 | 永遍, active 1418|~|Kaizen, -1424 | 快全, -1424",,Bunsei 9 [1826] | 文政9,1826,（奥書）「文政九丙戌正月小松尾山密柱大和上之以御本写焉畢　小資法山房」,Private Account of Oral Transmissions of Commentaries on the Mahāvairocana Sūtra|~|Suzuki subject: 仏教－経・論－経,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,"12, 9, 8 leaves ; 226 x 168 mm",text,Manuscripts|~|Early works,"Tripiṭaka Sūtrapiṭaka Tantra Susiddhikaramahātantrasādhanopāyikapaṭala|~|Tripiṭaka Sūtrapiṭaka Mahāvairocanasūtra|~|Tripiṭaka Sūtrapiṭaka Tantra Sarvatathāgatatattvasaṅgraha|~|Yixing, 673?-727 Da ri jing shu | 一行, 673?-727 大日經疏|~|Yixing, 673?-727 Ta jih ching i shih | 一行, 673?-727 大日經義釈","Richard C. Rudolph East Asian Library, UCLA","BQ1875 .S55 1826|~|Jun Suzuki, no.0076",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930587173606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1hs6k/manifest
3058737,Work,ark:/21198/n1r89q,ark:/21198/n1d33m,,Shinko jikka shōmon | 新古十箇證文,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1d33m%2Fsw43zc5x,,Dainichi jōbutsu jinpen kaji daishaku jishō kaji nidan | 大日成仏神変加持題釈自證加持二段,,Junzen | 純善,,Anʾei 7 [1778] | 安永7,1778,（奥書）「安永七戌年春三月於三島宇仁師講演砌書写一校了　純善」,Writings Confirming the Ten New and Old [Things?]|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,8 unnumbered leaves ; 235 x 162 mm,text,Manuscripts|~|Early works,Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8968 .S45 1778|~|Jun Suzuki, no.0162",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930587373606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1d33m/manifest
3059516,Work,ark:/21198/n1r89q,ark:/21198/n18909,,Shittan gusho mokuroku | 悉曇具書目録,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn18909%2Fsw43zc5x,,悉曇具書目錄 [variant title]|~|Bongaku shinryō shichisen sōmoku | 梵學津梁七詮總目|~|梵学津梁七詮総目 [variant title]|~|Bongaku shinryō sōmoku | 梵学津梁総目 [variant title]|~|Annen Sonja shittan jūnirei no ryaku | 安然尊者悉曇十二例之畧|~|安然尊者悉曇十二例之略 [variant title]|~|Annen Sonja jūnirei no ryaku | 安然尊者十二例之略 [variant title]|~|Shittan jūnirei ryakki | 悉曇十二例畧記 [variant title]|~|悉曇十二例略記 [variant title]|~|Sango mata ben | 三五摩多辨|~|三五摩多弁 [variant title]|~|Hattenjō shūshaku | 八囀聲集釋|~|八転声集釈 [variant title],,"Enga, active 1842 | 圓雅, active 1842|~|Jiun, 1718-1804 | 慈雲, 1718-1804|~|Kanri, active 1793 | 観理, active 1793|~|Annen, 841- | 安然, 841-|~|Jakugon, 1702-1771 | 寂嚴, 1702-1771",,Kōka 3 [1846]~|弘化3,1846,（奥書）「天保十三壬寅霜月中旬日於七宝山閣書写了　円雅生年廿三／弘化三丙午之夏譲受円雅上人者　七宝山中隠者実雅（花押）」,Catalogue of Complete Siddhaṃ Writings. Overall Explanation of [Jiun’s] Seven Methods [in his] Bongaku shinryō. An Abbeviation of Annen’s Twelve Examples of Siddhaṃ. Distinguishing the Thirty-Five [Siddhaṃ] Vowels; Explanation of the Collection of Eight [Siddhaṃ] Noun Cases|~|Suzuki subject: 仏教－総記－因明・悉曇,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,38 unnumbered leaves ; 249 x 179 mm,text,Manuscripts|~|Bibliographies,Sanskrit philology--Bibliography,"Richard C. Rudolph East Asian Library, UCLA","BQ4570.L3 S55 1842|~|Jun Suzuki, no.0061",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930595163606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn18909/manifest
3059813,Work,ark:/21198/n1r89q,ark:/21198/n14k97,,Sho giki denju hōsei | 諸儀軌伝授法制,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn14k97%2Fsw43zc5x,,諸儀軌傳授法制 [variant title],,"Shinjō, 1719-1802 | 真常, 1719-1802",,Kanʼen 3-Kansei 13 [1750-1801] | 寬延3-寬政13,1750/1801,,Regulatory Systems of Various Transmitted Ritual Commentaries|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,32 unnumbered leaves ; 276 x 197 mm,text,Manuscripts|~|Early works,Tantric Buddhism--Japan--Rituals--Early works to 1800|~|Shingon priests--Registers--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8920.2 .S56|~|Jun Suzuki, no.0159",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930598133606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn14k97/manifest
3060003,Work,ark:/21198/n1r89q,ark:/21198/n10s5j,,Nanten tettō shukkō yurai no koto | 南天鉄塔出興由来之事,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn10s5j%2Fsw43zc5x,,南天鐵塔出興由來之事 [variant title],,"Shōkai, -1800 | 性海, -1800|~|Gōhō, 1306-1362 | 杲寶, 1306-1362",,Tenmei 8 [1788] | 天明8,1788,（奥書）「天明八年歳次戊申二月廿一日／沙門性海記」,[On the] Matter of the Origination of the Iron Stupa of Southern India|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,42 unnumbered leaves ; 234 x 163 mm,text,Manuscripts|~|Early works,Shingon (Sect)--History--Early works to 1800|~|Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8962.2 .S46 1788|~|Jun Suzuki, no.0131",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930600033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn10s5j/manifest
3060650,Work,ark:/21198/n1r89q,ark:/21198/n1w34b,,Tendai Shingon nishū dōi shō | 天台真言二宗同異章,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1w34b%2Fsw43zc5x,,天台眞言二宗同異章 [variant title],,"Shōshin, active 1165-1207 | 證眞, active 1165-1207",Kyoto : Chigusa Ichibē | 京都 : 千種市兵衛,Genroku 10 [1697] | 元禄10,1697,（刊記）「元禄十丁丑年／五月吉辰／千種市兵衛」,Suzuki subject: 仏教－宗派－天台宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,22 leaves ; 271 x 181 mm,text,Early works,Tendai (Sect)--Doctrines--Early works to 1800|~|Shingon (Sect)--Doctrines--Early wors to 1800|~|Tendai (Sect)--Apologetic works--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ9118 .S56 1697|~|Jun Suzuki, no.0102",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930606503606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1w34b/manifest
3061497,Work,ark:/21198/n1r89q,ark:/21198/n1r90n,,Shūgi origami sōden | 宗義折紙相伝,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fsw43zc5x,,宗義折紙相傳 [variant title],,"Gyokujitsu, j, active 1672 | 玉日, j, active 1672|~|Yūnin, active 1730-1732 | 祐忍, active 1730-1732|~|Myōhen, 1142-1224 | 明遍, 1142-1224",,Kyōhō 15 [1730] | 享保15,1730,（奥書）「享保十五庚戌年六月下旬就于效覚院通阿しり伝授之砌　以釈迦文院蔵本模写之了／千本院渓雨宝院祐忍暁直房」,Continual Transmission of the Hallmark Tenets of [the Shingon] School|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,23 unnumbered leaves : illustrations ; 242 x 172 mm,text,Manuscripts|~|Early works,Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8968 .S478 1730|~|Jun Suzuki, no.0121",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930614973606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1r90n/manifest
3061987,Work,ark:/21198/n1r89q,ark:/21198/n1c34p,,Shūshaku hiji kanshū | 宗釈秘事巻集,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1c34p%2Fsw43zc5x,,宗釋秘事卷集 [variant title],,,,[between 1800 and 1868?],1800/1868,,Collected Scrolls of [the Shingon] School Explaining Esoteric Matters|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,37 unnumbered leaves ; 239 x 172 mm,text,Manuscripts|~|Early works,Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8918.2 .S58|~|Jun Suzuki, no.0126",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9930619873606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1c34p/manifest
3276172,Work,ark:/21198/n1r89q,ark:/21198/n1zs70,,Taishū kenbun yōki | 台宗見聞要記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fsw43zc5x,,,,"Yūchō, active 1851 | 宥澄, active 1851",,[between 1830 and 1868?],1830/1868,,Suzuki subject: 仏教－宗派－天台宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,30 unnumbered leaves ; 232 x 165 mm,text,Manuscripts,Tantric Buddhism--Doctrines|~|Tendai (Sect)--Doctrines,"Richard C. Rudolph East Asian Library, UCLA","BQ9118 .T35|~|Jun Suzuki, no.0108",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9932761723606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1zs70/manifest
3554567,Work,ark:/21198/n1r89q,ark:/21198/n1v33n,,Wa-shū Kumedera ruki | 和州久米寺流記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v33n%2Fsw43zc5x,,Kumedera ruki | 久米寺流記 [variant title],,"Chizan, active 1827 | 智山, active 1827",,Bunsei 10 [1827] | 文政10,1827,（奥書）「文政十丁亥秋七月三日彼義海大徳之以本書写了／西予智山」,Suzuki subject: 仏教－寺院,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,8 unnumbered leaves ; 234 x 168 mm,text,Manuscripts,"Kumedera (Kashihara-shi, Japan)--History | 久米寺 (Kashihara-shi, Japan)--History","Richard C. Rudolph East Asian Library, UCLA","BQ6353.K372 K86 1827|~|Jun Suzuki, no.0228",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9935545673606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1v33n/manifest
3680022,Work,ark:/21198/n1r89q,ark:/21198/n1qd0c,,Dainichikyō sho kuden shiki | 大日経疏口伝私記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1qd0c%2Fh008p740,,大日經疏口傳私記 [variant title]|~|Shingonshū sanbukyō narabini Dainichikyō sho engi | 真言宗三部経并大日経疏縁記|~|真言宗三部經并大日經疏緣記 [variant title]|~|Daisho denju shiki | 大疏傳授私記|~|大疏傳授私記 [variant title],,"Yūkai, 1345-1416 |  宥快, 1345-1416|~|Ekō, 1666-1734 | 慧光, 1666-1734|~|Egi, 1679-1747 | 慧曦, 1679-1747 ",,Bunsei 8 [1825] | 文政8,1825,（奥書）「文政八乙酉歳五月備後尾之道於転法輪山浄土寺良厳和尚大日経疏講伝之砌書写之者也」,Private Account of Oral Transmissions of Commentaries on the Mahāvairocana Sūtra|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,83 unnumbered leaves ; 232 x 161 mm,text,Manuscripts|~|Biographies|Early works,"Shingon priests--Biography--Early works to 1800|~|Shingon (Sect)--Sacred books--Early works to 1800|~|Yixing, 673?-727 Da ri jing shu | 一行, 673?-727 大日經疏","Richard C. Rudolph East Asian Library, UCLA","BQ1875.I373 Y8525 1825|~|Jun Suzuki, no.0170",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9936800223606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1qd0c/manifest
3680035,Work,ark:/21198/n1r89q,ark:/21198/n1kk8w,,Jikyō gūwa | 事教偶話,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk8w%2Fsw43zc5x,,事敎偶話 [variant title],,"Yūkei, active 1841-1846 | 宥圭, active 1841-1846",,[between 1830 and 1868?],1830/1868,,Casual Discussion of the Teachings [Dealing with] Phenomena|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,10 unnumbered leaves ; 273 x 188 mm,text,Manuscripts,Shingon (Sect)--Rituals|~|Shingon (Sect)--Doctrines,"Richard C. Rudolph East Asian Library, UCLA","BQ8968.2 .Y85|~|Jun Suzuki, no.0130",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9936800353606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1kk8w/manifest
3680506,Work,ark:/21198/n1r89q,ark:/21198/n1fw5m,,Tōji Shingonshū kechimyaku | 東寺真言宗血脈,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fw5m%2Fsw43zc5x,,東寺真言宗血脉 [variant title],,"Yūshin, -1432 | 宥信, -1432|~| Yūu, active 1748-1769 | 宥宇, active 1748-1769|~|Yūkai, 1345-1416 | 宥快, 1345-1416",,Kanʼen 1 [1748] | 寬延1,1748,（奥書）「寛延元辰象頭山以光岳之本書写之[畢]　三宝院末資宥宇」,Lineage [lit. Blood and Veins] of Tōji [of the] True Word School|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,19 unnumbered leaves ; 254 x 183 mm,text,Manuscripts|~|Early works,Shingon priests--Early works to 1800|~|Buddhist priests--Lineage--Early works to 1800|~|Shingon (Sect)--History--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .Y87 1748|~|Jun Suzuki, no.0167",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9936805063606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1fw5m/manifest
3680507,Work,ark:/21198/n1r89q,ark:/21198/n1b32m,,Tōji Shingonshū kechimyakuki | 東寺真言宗血脈記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1b32m%2Fsw43zc5x,,東寺真言宗血脉記 [variant title],Tōji Shingonshū kechimyaku | 東寺真言宗血脈,"Yūshin, -1432 | 宥信, -1432|~|Yūjin, active 1862 | 宥仁, active 1862|~|Yūkai, 1345-1416 | 宥快, 1345-1416",,Bunkyū 2 [1862] | 文久2,1862,（奥書）「文久二壬戌年於覚城蘭若憲深方伝授之砌借得御本書写畢　寂光山住宥仁二十三」,Lineage [lit. Blood and Veins] of Tōji [of the] True Word School|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,22 unnumbered leaves ; 268 x 186 mm,text,Manuscripts|~|Early works,Shingon priests--Early works to 1800|~|Buddhist priests--Lineage--Early works to 1800|~|Shingon (Sect)--History--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .Y87 1862|~|Jun Suzuki, no.0168",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9936805073606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1b32m/manifest
3680508,Work,ark:/21198/n1r89q,ark:/21198/n16d13,,Daisho randatsu | 大疏爛脱,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn16d13%2Fsw43zc5x,,大疏爛脫 [variant title],Dainichikyō sho randatsu | 大日経疏爛脱,"Yūshō, active 13th century-14th century | 宥祥, active 13th century-14th century|~|Yūu, active 1748-1769 | 宥宇, active 1748-1769|~|Yixing, 673?-727 | 一行, 673?-727",,Meiwa 3 [1766] | 明和3,1766,（奥書）「明和三歳次丙戌年七月下旬於讃州北田山如意輪寺以右御本書写之　金剛宝蓮閣宥宇」,Sub-Commentary on the Mahāvairocana Sūtra|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,51 unnumbered leaves ; 252 × 186 mm,text,Manuscripts|~|Early works,Tripiṭaka Sūtrapiṭaka Mahāvairocanasūtra--Commentaries--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ1875 .Y87 1766|~|Jun Suzuki, no.0169",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9936805083606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn16d13/manifest
